"Date","mar_Open","mar_High","mar_Low","mar_Close","mar_Volume","mar_TWAP","mar_VWAP","mar_PreviousCloseDate","hlt_Open","hlt_High","hlt_Low","hlt_Close","hlt_Volume","hlt_TWAP","hlt_VWAP","hlt_PreviousCloseDate"
"2021-12-28",154.93,156.01,153.905,155.02,965722,154.989845,154.969481,"2021-12-27",165.91,167.66,165.28,166.75,1297369,166.646036,166.626602,"2021-12-27"
"2021-12-27",153.71,155.44,152.32,155.29,905996,154.28567,154.3513,"2021-12-23",164.47,167.09,163.45,166.71,1139944,165.683823,165.681396,"2021-12-23"
"2021-12-23",154.01,155.2199,152.51,154.71,1384899,154.071508,154.250175,"2021-12-22",164.25,165.785,162.545,165.19,1528875,164.646301,164.757682,"2021-12-22"
"2021-12-22",148.22,153.47,148.22,152.74,3098655,152.233811,152.277527,"2021-12-21",158.56,163.23,158.36,162.58,2000955,161.943635,161.942021,"2021-12-21"
"2021-12-21",142.55,148.65,142.325,148.55,2214110,147.382486,147.28859,"2021-12-20",150.92,158.7,150.92,158.32,2269270,157.152195,157.236786,"2021-12-20"
"2021-12-20",139,141.26,137.37,140.37,2067227,139.641033,139.765241,"2021-12-17",146.99,151.24,145.79,149.68,2765697,149.356845,149.431856,"2021-12-17"
"2021-12-17",138.5,141.76,137.6,140.94,3068362,140.299724,140.270312,"2021-12-16",149.38,151.83,147.51,150.19,3599989,150.133268,150.037533,"2021-12-16"
"2021-12-16",141.1,142.14,138.955,139,1852143,140.459061,140.353567,"2021-12-15",151.1616,153.115,150.09,150.76,2738361,151.61076,151.489894,"2021-12-15"
"2021-12-15",141.82,142.36,137.88,140.29,1795654,139.63683,139.664742,"2021-12-14",152.99,153.93,148.65,151.18,2227965,150.337895,150.482581,"2021-12-14"
"2021-12-14",142.12,145.16,141.39,141.98,1581277,142.830517,142.637955,"2021-12-13",152.77,155.94,152.55,154.01,1548775,154.147997,154.092313,"2021-12-13"
"2021-12-13",144.55,144.65,140.88,142.41,1567872,142.36728,142.355857,"2021-12-10",159.07,159.68,153.42,153.68,2362785,154.700164,154.564072,"2021-12-10"
